nombre,genero,director,pais,duracion_ms
Avatar,Comedia,Ridley Scott,Estados Unidos,6659536
Back to the Future,Thriller,Christopher Nolan,Estados Unidos,6154201
Bad Boys,Drama,Bong Joon-ho,Estados Unidos,8026510
Batman Begins,Romance,Ridley Scott,Estados Unidos,8139068
Blade Runner,Aventura,Christopher Nolan,Estados Unidos,6367607
Blazing Saddles,Ciencia ficción,Ridley Scott,Estados Unidos,7949251
Boys Don't Cry,Acción,Martin Scorsese,Estados Unidos,5696034
Braveheart,Crimen,Guillermo del Toro,Estados Unidos,5604106
Caddyshack,Ciencia ficción,James Cameron,Estados Unidos,10192943
Casablanca,Ciencia ficción,Guillermo del Toro,Estados Unidos,6876995
Cast Away,Comedia,Pedro Almodóvar,Estados Unidos,6335366
Citizen Kane,Crimen,James Cameron,Estados Unidos,6492210
Clueless,Acción,Ridley Scott,Estados Unidos,10734922
Dirty Dancing,Crimen,Andrey Zvyagintsev,Estados Unidos,10226837
Do the Right Thing,Ciencia ficción,Ridley Scott,Estados Unidos,6957126
Donnie Brasco,Acción,Ridley Scott,Estados Unidos,6841215
Dr. Strangelove,Comedia,Pedro Almodóvar,Estados Unidos,6645723
E.T. the Extra-Terrestrial,Ciencia ficción,Quentin Tarantino,Estados Unidos,6127658
Forrest Gump,Acción,Ridley Scott,Estados Unidos,7462932
Goodfellas,Drama,Bong Joon-ho,Estados Unidos,5694444
Groundhog Day,Aventura,Steven Spielberg,Estados Unidos,6275524
Halloween,Ciencia ficción,Steven Spielberg,Estados Unidos,10707337
Heat,Aventura,Hayao Miyazaki,Estados Unidos,8967955
Inception,Crimen,Andrey Zvyagintsev,Estados Unidos,5757962
Indiana Jones and the Raiders of the Lost Ark,Comedia,Pedro Almodóvar,Estados Unidos,7151892
Jaws,Drama,Christopher Nolan,Estados Unidos,7493762
Jerry Maguire,Romance,Christopher Nolan,Estados Unidos,7166833
Jurassic Park,Aventura,Hayao Miyazaki,Estados Unidos,10373145
L.A. Confidential,Acción,Francis Ford Coppola,Estados Unidos,5777390
Lawrence of Arabia,Thriller,Ridley Scott,Estados Unidos,5407645
Little Miss Sunshine,Drama,Hayao Miyazaki,Estados Unidos,7624755
Mad Max: Fury Road,Comedia,Hayao Miyazaki,Estados Unidos,7209059
Malcolm X,Crimen,Hayao Miyazaki,Estados Unidos,6204582
Marriage Story,Aventura,Martin Scorsese,Estados Unidos,9214887
Meet the Parents,Romance,Bong Joon-ho,Estados Unidos,8475805
Midnight Cowboy,Acción,Guillermo del Toro,Estados Unidos,6823490
Moulin Rouge!,Acción,Steven Spielberg,Estados Unidos,7810299
My Fair Lady,Comedia,Hayao Miyazaki,Estados Unidos,7387244
National Treasure,Comedia,Andrey Zvyagintsev,Estados Unidos,6238569
No Country for Old Men,Ciencia ficción,Hayao Miyazaki,Estados Unidos,9760073
North by Northwest,Ciencia ficción,Steven Spielberg,Estados Unidos,9836051
One Flew Over the Cuckoo's Nest,Thriller,Pedro Almodóvar,Estados Unidos,7569470
Pulp Fiction,Comedia,Ridley Scott,Estados Unidos,5688244
Rain Man,Crimen,James Cameron,Estados Unidos,9220323
Rocky,Thriller,Guillermo del Toro,Estados Unidos,8565807
Schindler's List,Romance,Martin Scorsese,Estados Unidos,9523937
Se7en,Crimen,Pedro Almodóvar,Estados Unidos,10575049
Singin� in the Rain,Ciencia ficción,Steven Spielberg,Estados Unidos,10357237
Star Wars: A New Hope,Ciencia ficción,Guillermo del Toro,Estados Unidos,9687973
The 400 Blows,Crimen,Francis Ford Coppola,Estados Unidos,6149283
The Big Lebowski,Ciencia ficción,Steven Spielberg,Estados Unidos,10630670
The Breakfast Club,Ciencia ficción,Hayao Miyazaki,Estados Unidos,9799773
The Dark Knight,Ciencia ficción,Quentin Tarantino,Estados Unidos,8945213
The Departed,Acción,Steven Spielberg,Estados Unidos,9649026
The Godfather,Thriller,Guillermo del Toro,Estados Unidos,7433705
The Graduate,Drama,Andrey Zvyagintsev,Estados Unidos,7281105
The Great Gatsby,Ciencia ficción,Guillermo del Toro,Estados Unidos,5860632
The Shawshank Redemption,Crimen,Christopher Nolan,Estados Unidos,9266127
The Silence of the Lambs,Aventura,Christopher Nolan,Estados Unidos,5916690
The Social Network,Comedia,Ridley Scott,Estados Unidos,9845799
The Wizard of Oz,Romance,Pedro Almodóvar,Estados Unidos,9568681
Titanic,Acción,Martin Scorsese,Estados Unidos,9274351
Trainspotting,Romance,Francis Ford Coppola,Estados Unidos,7315627
V for Vendetta,Ciencia ficción,Francis Ford Coppola,Estados Unidos,8141308
WALL-E,Ciencia ficción,James Cameron,Estados Unidos,10185651
Willy Wonka & the Chocolate Factory,Ciencia ficción,Bong Joon-ho,Estados Unidos,7904439
Zodiac,Drama,Quentin Tarantino,Estados Unidos,8957268
A Beautiful Day in the Neighborhood,Drama,Ridley Scott,Estados Unidos,10261339
A Fish Called Wanda,Aventura,Andrey Zvyagintsev,Estados Unidos,8382362
A Nightmare on Elm Street,Crimen,Pedro Almodóvar,Estados Unidos,9509076
Aladdin (1992),Drama,Guillermo del Toro,Estados Unidos,9481650
Alien,Drama,Quentin Tarantino,Estados Unidos,9781519
Aliens,Romance,Christopher Nolan,Estados Unidos,6868590
American Graffiti,Crimen,Francis Ford Coppola,Estados Unidos,8874298
American Sniper,Romance,Christopher Nolan,Estados Unidos,6590536
An American in Paris,Crimen,James Cameron,Estados Unidos,6707543
Anger Management,Comedia,Andrey Zvyagintsev,Estados Unidos,9116740
Annie,Thriller,Pedro Almodóvar,Estados Unidos,5604085
Avatar: The Way of Water,Aventura,Hayao Miyazaki,Estados Unidos,6881218
Big Fish,Drama,Quentin Tarantino,Estados Unidos,7128802
Billy Elliot,Drama,Martin Scorsese,Estados Unidos,7926082
Blade Runner 2049,Acción,Quentin Tarantino,Estados Unidos,6407297
Bridget Jones�s Diary,Crimen,Pedro Almodóvar,Estados Unidos,9221235
Butch Cassidy and the Sundance Kid,Acción,Hayao Miyazaki,Estados Unidos,7727516
Captain America: The Winter Soldier,Comedia,Andrey Zvyagintsev,Estados Unidos,7493500
Citizenfour,Drama,Pedro Almodóvar,Estados Unidos,10232622
Clerks,Comedia,Francis Ford Coppola,Estados Unidos,5685888
Coming to America,Comedia,Andrey Zvyagintsev,Estados Unidos,10134259
Deadpool,Crimen,Quentin Tarantino,Estados Unidos,5905120
Die Hard,Crimen,Ridley Scott,Estados Unidos,8482869
Dirty Harry,Thriller,Martin Scorsese,Estados Unidos,5607376
Doctor Zhivago,Aventura,Pedro Almodóvar,Estados Unidos,9592494
Eternal Sunshine of the Spotless Mind,Crimen,Quentin Tarantino,Estados Unidos,7289441
Ferris Bueller�s Day Off,Ciencia ficción,Ridley Scott,Estados Unidos,7836350
Fargo,Ciencia ficción,James Cameron,Estados Unidos,9828691
Fantastic Beasts and Where to Find Them,Drama,Hayao Miyazaki,Estados Unidos,8498791
Fantastic Four,Acción,Hayao Miyazaki,Estados Unidos,5526788
Finding Nemo,Ciencia ficción,James Cameron,Estados Unidos,10100335
Forest Gump,Drama,James Cameron,Estados Unidos,8883049
Frozen,Ciencia ficción,Ridley Scott,Estados Unidos,7352931
Gladiator,Ciencia ficción,James Cameron,Estados Unidos,9021943
Good Will Hunting,Comedia,Andrey Zvyagintsev,Estados Unidos,6226769
Guardians of the Galaxy,Aventura,Bong Joon-ho,Estados Unidos,8373860
Hairspray,Ciencia ficción,Andrey Zvyagintsev,Estados Unidos,9915174
Harry Potter and the Sorcerer's Stone,Ciencia ficción,Pedro Almodóvar,Estados Unidos,6734258
High Fidelity,Comedia,Pedro Almodóvar,Estados Unidos,9093015
Home Alone,Crimen,Quentin Tarantino,Estados Unidos,7678474
How to Train Your Dragon,Drama,Pedro Almodóvar,Estados Unidos,10244732
Inglourious Basterds,Acción,Bong Joon-ho,Estados Unidos,7038650
Inside Out,Comedia,Quentin Tarantino,Estados Unidos,10759714
Iron Man,Ciencia ficción,Martin Scorsese,Estados Unidos,7090113
Juno,Ciencia ficción,Hayao Miyazaki,Estados Unidos,5498395
Kingsman: The Secret Service,Comedia,Bong Joon-ho,Estados Unidos,9663314
La La Land,Crimen,Quentin Tarantino,Estados Unidos,10637311
Lethal Weapon,Aventura,Christopher Nolan,Estados Unidos,10793183
Life of Pi,Romance,Steven Spielberg,Estados Unidos,10278984
Logan,Crimen,Ridley Scott,Estados Unidos,10475266
Mad Max: Fury Road,Ciencia ficción,Bong Joon-ho,Estados Unidos,5540608
Mamma Mia!,Crimen,Martin Scorsese,Estados Unidos,10220969
Man on the Moon,Aventura,Ridley Scott,Estados Unidos,5692519
Marvel�s The Avengers,Acción,Andrey Zvyagintsev,Estados Unidos,5872043
Monsters Inc.,Drama,Steven Spielberg,Estados Unidos,6812507
Moonlight,Aventura,Bong Joon-ho,Estados Unidos,10488808
Napoleon Dynamite,Crimen,Ridley Scott,Estados Unidos,5779100
Ocean's Eleven,Aventura,Andrey Zvyagintsev,Estados Unidos,9307639
One Man�s Hero,Thriller,Ridley Scott,Estados Unidos,5958550
Patton,Acción,Christopher Nolan,Estados Unidos,8866800
Pulp Fiction,Ciencia ficción,Andrey Zvyagintsev,Estados Unidos,7012333
Requiem for a Dream,Ciencia ficción,Francis Ford Coppola,Estados Unidos,10708973
Rising Sun,Romance,Christopher Nolan,Estados Unidos,9592518
Rocky Horror Picture Show,Thriller,Steven Spielberg,Estados Unidos,10148421
Saving Private Ryan,Thriller,Andrey Zvyagintsev,Estados Unidos,5769744
Scary Movie,Comedia,Hayao Miyazaki,Estados Unidos,8071500
School of Rock,Acción,Pedro Almodóvar,Estados Unidos,7309017
Shutter Island,Comedia,Guillermo del Toro,Estados Unidos,7437265
Spider-Man: Into the Spider-Verse,Comedia,Andrey Zvyagintsev,Estados Unidos,8872172
Star Wars: The Empire Strikes Back,Ciencia ficción,James Cameron,Estados Unidos,7683895
Superbad,Aventura,Christopher Nolan,Estados Unidos,8236141
Superman: The Movie,Acción,Hayao Miyazaki,Estados Unidos,7837434
The Amazing Spider-Man,Acción,Hayao Miyazaki,Estados Unidos,9112170
The Avengers,Romance,Francis Ford Coppola,Estados Unidos,10389459
The Big Sick,Acción,Ridley Scott,Estados Unidos,5436570
The Book of Mormon,Thriller,Andrey Zvyagintsev,Estados Unidos,9677046
The Bourne Identity,Romance,Ridley Scott,Estados Unidos,10666389
The Devil Wears Prada,Acción,Steven Spielberg,Estados Unidos,8659790
The Fault in Our Stars,Aventura,Martin Scorsese,Estados Unidos,9491033
The Greatest Showman,Aventura,Steven Spielberg,Estados Unidos,8699612
The Hunger Games,Drama,Ridley Scott,Estados Unidos,7316829
The Incredibles,Comedia,Andrey Zvyagintsev,Estados Unidos,6428303
The Matrix,Drama,Bong Joon-ho,Estados Unidos,8455746
The Notebook,Romance,Steven Spielberg,Estados Unidos,6926176
The Princess Bride,Romance,Andrey Zvyagintsev,Estados Unidos,6332543
The Revenant,Comedia,Guillermo del Toro,Estados Unidos,10242013
The Ring,Crimen,Christopher Nolan,Estados Unidos,8135924
The Secret Life of Walter Mitty,Drama,Quentin Tarantino,Estados Unidos,7515845
The Shape of Water,Thriller,Ridley Scott,Estados Unidos,9174992
The Social Network,Thriller,Pedro Almodóvar,Estados Unidos,8319291
The Sound of Music,Crimen,Guillermo del Toro,Estados Unidos,6497671
The Truman Show,Drama,Hayao Miyazaki,Estados Unidos,7568862
The Untouchables,Crimen,James Cameron,Estados Unidos,8737838
The Vow,Crimen,Martin Scorsese,Estados Unidos,8885735
The Wedding Singer,Aventura,Quentin Tarantino,Estados Unidos,10694776
The Wolf of Wall Street,Drama,Guillermo del Toro,Estados Unidos,5417881
Toy Story,Comedia,Hayao Miyazaki,Estados Unidos,7739547
Transformers,Thriller,Guillermo del Toro,Estados Unidos,8307823
Trolls,Drama,James Cameron,Estados Unidos,10724111
Up,Ciencia ficción,Hayao Miyazaki,Estados Unidos,10554940
Willy Wonka & the Chocolate Factory,Acción,James Cameron,Estados Unidos,7782439
Wonder Woman,Drama,Hayao Miyazaki,Estados Unidos,6399259
Zombieland,Drama,Pedro Almodóvar,Estados Unidos,9019440
Zootopia,Romance,Bong Joon-ho,Estados Unidos,10073455
Big Hero 6,Acción,Pedro Almodóvar,Estados Unidos,10491422
Brave,Drama,Quentin Tarantino,Estados Unidos,5515913
Frozen II,Drama,Steven Spielberg,Estados Unidos,7537190
Cars,Crimen,Bong Joon-ho,Estados Unidos,7189264
Guardians of the Galaxy Vol. 2,Thriller,Guillermo del Toro,Estados Unidos,7713937
Captain Marvel,Ciencia ficción,Guillermo del Toro,Estados Unidos,5855307
Black Panther,Aventura,Quentin Tarantino,Estados Unidos,6311517
Deadpool 2,Drama,Bong Joon-ho,Estados Unidos,6219193
Shazam!,Thriller,Steven Spielberg,Estados Unidos,8585812
Aquaman,Crimen,Hayao Miyazaki,Estados Unidos,7415590
Inception España 100,Ciencia ficción,Guillermo del Toro,Estados Unidos,8345521
To Yuma,Comedia,Steven Spielberg,Estados Unidos,7678954
Bridges,Acción,Ridley Scott,Estados Unidos,10679864
Weeks Later,Ciencia ficción,Christopher Nolan,Estados Unidos,7316493
Year-Old Virgin,Ciencia ficción,Guillermo del Toro,Estados Unidos,10461353
Mile,Romance,Christopher Nolan,Estados Unidos,7856016
A Beautiful Mind,Thriller,Quentin Tarantino,Estados Unidos,10405267
A Bronx Tale,Romance,Francis Ford Coppola,Estados Unidos,6923577
A History of Violence,Crimen,Andrey Zvyagintsev,Estados Unidos,8589219
A Nightmare on Elm Street,Crimen,James Cameron,Estados Unidos,9121458
A Simple Plan,Romance,Steven Spielberg,Estados Unidos,9865621
About Time,Thriller,Hayao Miyazaki,Estados Unidos,6187914
American Wedding,Drama,Pedro Almodóvar,Estados Unidos,10479612
An Education,Crimen,James Cameron,Estados Unidos,8527294
Aquaman,Drama,Quentin Tarantino,Estados Unidos,7589271
Argo,Crimen,Francis Ford Coppola,Estados Unidos,7567731
Armageddon,Comedia,James Cameron,Estados Unidos,7825089
Baby Driver,Romance,Martin Scorsese,Estados Unidos,10600170
Batman v Superman: Dawn of Justice,Aventura,Ridley Scott,Estados Unidos,6771803
Beasts of the Southern Wild,Comedia,Christopher Nolan,Estados Unidos,9150479
Black Swan,Aventura,Pedro Almodóvar,Estados Unidos,7693482
Blue Valentine,Ciencia ficción,Christopher Nolan,Estados Unidos,10309745
Bohemian Rhapsody,Comedia,James Cameron,Estados Unidos,7031621
Borat,Aventura,Andrey Zvyagintsev,Estados Unidos,7838271
Brave,Thriller,Bong Joon-ho,Estados Unidos,8345855
Captain Phillips,Romance,Guillermo del Toro,Estados Unidos,8303896
Charlie's Angels,Aventura,Andrey Zvyagintsev,Estados Unidos,6445070
City of God,Drama,Bong Joon-ho,Estados Unidos,9638956
Cinderella Man,Drama,Martin Scorsese,Estados Unidos,6823548
Citizen Kane,Aventura,Martin Scorsese,Estados Unidos,6930417
Cloud Atlas,Acción,Christopher Nolan,Estados Unidos,6164119
Dallas Buyers Club,Crimen,Francis Ford Coppola,Estados Unidos,9846702
Deadpool 2,Aventura,Francis Ford Coppola,Estados Unidos,7026489
Deepwater Horizon,Thriller,Bong Joon-ho,Estados Unidos,6340646
Desperado,Drama,Martin Scorsese,Estados Unidos,6742013
Detective Chinatown 3,Acción,Christopher Nolan,Estados Unidos,8899413
Die Hard with a Vengeance,Acción,James Cameron,Estados Unidos,7234933
Dirty Dancing,Romance,Andrey Zvyagintsev,Estados Unidos,10252771
Don�t Breathe,Ciencia ficción,James Cameron,Estados Unidos,8533629
Drive,Drama,Quentin Tarantino,Estados Unidos,5617839
Easy Rider,Drama,Martin Scorsese,Estados Unidos,8600780
Ex Machina,Comedia,Francis Ford Coppola,Estados Unidos,8242383
Field of Dreams,Thriller,James Cameron,Estados Unidos,10788769
Fight Club,Ciencia ficción,Andrey Zvyagintsev,Estados Unidos,5421052
Forrest Gump,Aventura,Guillermo del Toro,Estados Unidos,6123162
Four Weddings and a Funeral,Aventura,Ridley Scott,Estados Unidos,8599807
Foxcatcher,Acción,Steven Spielberg,Estados Unidos,8465790
Friday the 13th,Ciencia ficción,Andrey Zvyagintsev,Estados Unidos,7143902
Frost/Nixon,Romance,Hayao Miyazaki,Estados Unidos,9756945
Frozen,Romance,Christopher Nolan,Estados Unidos,5734673
Get Out,Acción,Ridley Scott,Estados Unidos,8425462
Gladiator,Acción,Andrey Zvyagintsev,Estados Unidos,9803204
Goodfellas,Ciencia ficción,Ridley Scott,Estados Unidos,7975608
Gran Torino,Crimen,Guillermo del Toro,Estados Unidos,10498523
Grown Ups,Ciencia ficción,Ridley Scott,Estados Unidos,9535491
Hacksaw Ridge,Ciencia ficción,Hayao Miyazaki,Estados Unidos,5841005
Harry Potter and the Prisoner of Azkaban,Aventura,Martin Scorsese,Estados Unidos,7610703
Heat,Thriller,Francis Ford Coppola,Estados Unidos,6419777
Her,Crimen,Hayao Miyazaki,Estados Unidos,10487442
Hidalgo,Acción,Guillermo del Toro,Estados Unidos,7064503
High School Musical,Thriller,Hayao Miyazaki,Estados Unidos,7067485
Holes,Thriller,Martin Scorsese,Estados Unidos,6238168
Horrible Bosses,Thriller,Andrey Zvyagintsev,Estados Unidos,8259090
Hotel Rwanda,Aventura,Francis Ford Coppola,Estados Unidos,7328610
Howl's Moving Castle,Thriller,Francis Ford Coppola,Estados Unidos,9079380
Hunger Games: Catching Fire,Crimen,James Cameron,Estados Unidos,9944190
Ice Age,Comedia,Christopher Nolan,Estados Unidos,7544301
Iron Man,Crimen,Ridley Scott,Estados Unidos,7260322
Jackie Brown,Thriller,Bong Joon-ho,Estados Unidos,9532229
Jaws,Comedia,Steven Spielberg,Estados Unidos,8012059
Jumanji: Welcome to the Jungle,Thriller,Bong Joon-ho,Estados Unidos,7421548
Kill Bill,Romance,Quentin Tarantino,Estados Unidos,7940594
Kung Fu Panda,Thriller,Francis Ford Coppola,Estados Unidos,8608117
L.A. Story,Acción,Hayao Miyazaki,Estados Unidos,9556049
Labyrinth,Thriller,Hayao Miyazaki,Estados Unidos,9541581
Liar Liar,Thriller,Ridley Scott,Estados Unidos,6810631
Lilo & Stitch,Ciencia ficción,Christopher Nolan,Estados Unidos,7719952
Little Women,Drama,Steven Spielberg,Estados Unidos,7366196
Logan,Ciencia ficción,Andrey Zvyagintsev,Estados Unidos,8727966
Lost in Translation,Drama,Christopher Nolan,Estados Unidos,9005643
Mad Max: Fury Road,Acción,Bong Joon-ho,Estados Unidos,9415653
Madagascar,Crimen,Pedro Almodóvar,Estados Unidos,6381328
Maleficent,Ciencia ficción,Guillermo del Toro,Estados Unidos,10620451
Man of Steel,Aventura,Christopher Nolan,Estados Unidos,7123199
Marriage Story,Drama,Hayao Miyazaki,Estados Unidos,9995150
Midnight in Paris,Ciencia ficción,Christopher Nolan,Estados Unidos,8624085
Minority Report,Crimen,Christopher Nolan,Estados Unidos,5791981
Mulan,Aventura,Ridley Scott,Estados Unidos,8083369
My Big Fat Greek Wedding,Thriller,James Cameron,Estados Unidos,5815854
Nightcrawler,Comedia,James Cameron,Estados Unidos,10264326
No Country for Old Men,Romance,Steven Spielberg,Estados Unidos,5662918
Ocean's Twelve,Acción,Ridley Scott,Estados Unidos,8504657
Ocean's Thirteen,Crimen,Ridley Scott,Estados Unidos,8022547
Once Upon a Time in Hollywood,Drama,Christopher Nolan,Estados Unidos,6043902
Pan's Labyrinth,Acción,Bong Joon-ho,Estados Unidos,8061189
Parkland,Romance,Hayao Miyazaki,Estados Unidos,8034569
Percy Jackson & The Olympians,Aventura,Bong Joon-ho,Estados Unidos,6435740
Phantom Thread,Acción,Hayao Miyazaki,Estados Unidos,10765902
Pirates of the Caribbean,Aventura,Steven Spielberg,Estados Unidos,9246711
Pitch Perfect,Comedia,Francis Ford Coppola,Estados Unidos,7481949
Pulp Fiction,Comedia,Guillermo del Toro,Estados Unidos,10338844
Raging Bull,Aventura,Francis Ford Coppola,Estados Unidos,7725988
Rear Window,Comedia,Pedro Almodóvar,Estados Unidos,7612440
Reservoir Dogs,Crimen,Francis Ford Coppola,Estados Unidos,6281286
Road to Perdition,Aventura,Hayao Miyazaki,Estados Unidos,8292571
Rocky Horror Picture Show,Aventura,Pedro Almodóvar,Estados Unidos,8738832
Rush Hour,Thriller,Ridley Scott,Estados Unidos,9405367
Rushmore,Romance,James Cameron,Estados Unidos,7152789
Safety Not Guaranteed,Ciencia ficción,Christopher Nolan,Estados Unidos,8162652
Scary Movie,Ciencia ficción,Hayao Miyazaki,Estados Unidos,9058356
Scrooged,Ciencia ficción,Steven Spielberg,Estados Unidos,10470779
Se7en,Crimen,Bong Joon-ho,Estados Unidos,7575279
